ID,Pose,Keypoints_XY,Girth,ArcLength,Volume,fx,fy,cx,cy
SHRIMP_0,Shrimp_Straight,"{'head': (0.7233, 0.4604), 'spine': (0.7398, 0.5112), 'tail': (0.7525, 0.5556)}",2.6148,11.9388,59.680097,982.6096,982.6096,540.0,540.0
SHRIMP_1,Shrimp_Straight,"{'head': (0.3491, 0.0916), 'spine': (0.3306, 0.1352), 'tail': (0.316, 0.1756)}",2.1792,9.95,34.547141,982.6096,982.6096,540.0,540.0
SHRIMP_2,Shrimp_V,"{'head': (0.4073, 0.2492), 'spine': (0.4286, 0.2698), 'tail': (0.444, 0.2932)}",1.4654,6.6908,10.453532,982.6096,982.6096,540.0,540.0
SHRIMP_3,Shrimp_^,"{'head': (0.8915, 0.3243), 'spine': (0.8626, 0.3424), 'tail': (0.8666, 0.3748)}",1.6833,7.6858,15.790171,982.6096,982.6096,540.0,540.0
SHRIMP_4,Shrimp_V,"{'head': (0.4373, 0.4718), 'spine': (0.4787, 0.4494), 'tail': (0.5215, 0.4372)}",2.3281,10.6299,41.920265,982.6096,982.6096,540.0,540.0
SHRIMP_5,Shrimp_L,"{'head': (0.3129, 0.6022), 'spine': (0.3467, 0.6076), 'tail': (0.3608, 0.5786)}",1.6985,7.755,16.160332,982.6096,982.6096,540.0,540.0
SHRIMP_6,Shrimp_V,"{'head': (0.9018, 0.5237), 'spine': (0.8561, 0.5347), 'tail': (0.8118, 0.5354)}",2.2733,10.3793,39.025054,982.6096,982.6096,540.0,540.0
SHRIMP_7,Shrimp_^,"{'head': (0.6944, 0.628), 'spine': (0.6731, 0.6127), 'tail': (0.6513, 0.625)}",1.3202,6.0278,7.617313,982.6096,982.6096,540.0,540.0
SHRIMP_8,Shrimp_L,"{'head': (0.2661, 0.4408), 'spine': (0.2248, 0.4136), 'tail': (0.1891, 0.4434)}",2.41,11.0035,46.164385,982.6096,982.6096,540.0,540.0
SHRIMP_9,Shrimp_V,"{'head': (0.7723, 0.6163), 'spine': (0.8178, 0.621), 'tail': (0.8588, 0.6347)}",2.229,10.1773,36.790048,982.6096,982.6096,540.0,540.0
