ID,Pose,Keypoints_XY,Girth,ArcLength,Volume,fx,fy,cx,cy
SHRIMP_0,Shrimp_V,"{'head': (0.593, 0.6182), 'spine': (0.5681, 0.6134), 'tail': (0.5461, 0.6038)}",1.5886,7.2534,13.318738,780.0058,780.0058,540.0,540.0
SHRIMP_1,Shrimp_^,"{'head': (0.7455, 0.351), 'spine': (0.7282, 0.3298), 'tail': (0.703, 0.3363)}",1.6967,7.747,16.170311,780.0058,780.0058,540.0,540.0
SHRIMP_2,Shrimp_Straight,"{'head': (0.3453, 0.6211), 'spine': (0.3649, 0.6043), 'tail': (0.3826, 0.5889)}",1.5542,7.0962,12.532106,780.0058,780.0058,540.0,540.0
SHRIMP_3,Shrimp_L,"{'head': (0.7021, 0.7762), 'spine': (0.7048, 0.7476), 'tail': (0.6797, 0.7374)}",1.7663,8.0648,18.175552,780.0058,780.0058,540.0,540.0
SHRIMP_4,Shrimp_L,"{'head': (0.2403, 0.2949), 'spine': (0.2092, 0.2996), 'tail': (0.2049, 0.3288)}",1.9216,8.7739,23.40399,780.0058,780.0058,540.0,540.0
SHRIMP_5,Shrimp_V,"{'head': (0.5835, 0.3349), 'spine': (0.6103, 0.3459), 'tail': (0.6328, 0.3616)}",1.8081,8.2556,19.636954,780.0058,780.0058,540.0,540.0
SHRIMP_6,Shrimp_V,"{'head': (0.3796, 0.3489), 'spine': (0.3924, 0.3825), 'tail': (0.3972, 0.4161)}",2.2391,10.2233,37.291727,780.0058,780.0058,540.0,540.0
SHRIMP_7,Shrimp_Straight,"{'head': (0.4784, 0.3106), 'spine': (0.5084, 0.341), 'tail': (0.5344, 0.3685)}",2.5772,11.767,57.140607,780.0058,780.0058,540.0,540.0
SHRIMP_8,Shrimp_Straight,"{'head': (0.3333, 0.7623), 'spine': (0.3624, 0.7652), 'tail': (0.3885, 0.7664)}",1.7586,8.0293,18.154104,780.0058,780.0058,540.0,540.0
SHRIMP_9,Shrimp_^,"{'head': (0.508, 0.5259), 'spine': (0.504, 0.5007), 'tail': (0.4806, 0.4941)}",1.6212,7.4021,14.105558,780.0058,780.0058,540.0,540.0
SHRIMP_10,Shrimp_L,"{'head': (0.2534, 0.7529), 'spine': (0.2598, 0.7747), 'tail': (0.2812, 0.7749)}",1.3814,6.3075,8.695089,780.0058,780.0058,540.0,540.0
SHRIMP_11,Shrimp_L,"{'head': (0.6545, 0.2268), 'spine': (0.6771, 0.2072), 'tail': (0.6656, 0.1816)}",1.8184,8.3025,19.830983,780.0058,780.0058,540.0,540.0
