ID,Pose,Keypoints_XY,Girth,ArcLength,Volume,fx,fy,cx,cy
SHRIMP_0,Shrimp_L,"{'head': (0.659, 0.3669), 'spine': (0.6917, 0.3399), 'tail': (0.6763, 0.3031)}",2.5892,11.8221,57.252893,783.1925,783.1925,540.0,540.0
SHRIMP_1,Shrimp_V,"{'head': (0.3043, 0.7355), 'spine': (0.2798, 0.7341), 'tail': (0.2574, 0.7278)}",1.4967,6.8337,11.137757,783.1925,783.1925,540.0,540.0
SHRIMP_2,Shrimp_^,"{'head': (0.8201, 0.3597), 'spine': (0.7876, 0.3692), 'tail': (0.7827, 0.4011)}",2.0823,9.5075,29.889716,783.1925,783.1925,540.0,540.0
SHRIMP_3,Shrimp_^,"{'head': (0.2529, 0.6361), 'spine': (0.2748, 0.669), 'tail': (0.3121, 0.6633)}",2.4359,11.1218,47.846081,783.1925,783.1925,540.0,540.0
SHRIMP_4,Shrimp_V,"{'head': (0.6867, 0.5281), 'spine': (0.6656, 0.5124), 'tail': (0.6493, 0.4936)}",1.6308,7.4459,14.407532,783.1925,783.1925,540.0,540.0
SHRIMP_5,Shrimp_L,"{'head': (0.6634, 0.6181), 'spine': (0.678, 0.6443), 'tail': (0.7055, 0.6382)}",1.8496,8.4449,20.868986,783.1925,783.1925,540.0,540.0
SHRIMP_6,Shrimp_V,"{'head': (0.2416, 0.6103), 'spine': (0.228, 0.5778), 'tail': (0.2221, 0.545)}",2.1479,9.8069,32.91819,783.1925,783.1925,540.0,540.0
SHRIMP_7,Shrimp_L,"{'head': (0.4459, 0.6598), 'spine': (0.4339, 0.6829), 'tail': (0.4513, 0.6999)}",1.6064,7.3346,13.672448,783.1925,783.1925,540.0,540.0
SHRIMP_8,Shrimp_L,"{'head': (0.6931, 0.2065), 'spine': (0.7362, 0.2049), 'tail': (0.7464, 0.1657)}",2.5831,11.7939,56.844616,783.1925,783.1925,540.0,540.0
SHRIMP_9,Shrimp_^,"{'head': (0.5767, 0.6407), 'spine': (0.5691, 0.6127), 'tail': (0.5417, 0.608)}",1.8337,8.3724,20.411085,783.1925,783.1925,540.0,540.0
SHRIMP_10,Shrimp_Straight,"{'head': (0.3723, 0.7845), 'spine': (0.4069, 0.8026), 'tail': (0.4381, 0.8163)}",2.3659,10.8024,44.20861,783.1925,783.1925,540.0,540.0
SHRIMP_11,Shrimp_V,"{'head': (0.5742, 0.7688), 'spine': (0.5396, 0.7582), 'tail': (0.5099, 0.7413)}",2.2072,10.0778,35.722029,783.1925,783.1925,540.0,540.0
SHRIMP_12,Shrimp_Straight,"{'head': (0.4724, 0.4463), 'spine': (0.4888, 0.4268), 'tail': (0.5034, 0.4102)}",1.5966,7.2896,13.585013,783.1925,783.1925,540.0,540.0
SHRIMP_13,Shrimp_L,"{'head': (0.6239, 0.1994), 'spine': (0.6029, 0.2134), 'tail': (0.6097, 0.2361)}",1.5416,7.0388,12.08403,783.1925,783.1925,540.0,540.0
SHRIMP_14,Shrimp_V,"{'head': (0.3525, 0.5218), 'spine': (0.3423, 0.5427), 'tail': (0.3285, 0.5599)}",1.4469,6.6061,10.061845,783.1925,783.1925,540.0,540.0
