ID,Pose,Keypoints_XY,Girth,ArcLength,Volume,fx,fy,cx,cy
SHRIMP_0,Shrimp_V,"{'head': (0.5882, 0.7193), 'spine': (0.6203, 0.7494), 'tail': (0.6436, 0.7838)}",2.0542,9.379,28.794424,1034.9476,1034.9476,540.0,540.0
SHRIMP_1,Shrimp_L,"{'head': (0.1665, 0.4723), 'spine': (0.1247, 0.446), 'tail': (0.0897, 0.4765)}",2.2697,10.3629,38.562106,1034.9476,1034.9476,540.0,540.0
SHRIMP_2,Shrimp_V,"{'head': (0.4882, 0.7784), 'spine': (0.4982, 0.8232), 'tail': (0.498, 0.8666)}",2.129,9.7208,32.058557,1034.9476,1034.9476,540.0,540.0
SHRIMP_3,Shrimp_Straight,"{'head': (0.3128, 0.8814), 'spine': (0.3275, 0.8344), 'tail': (0.341, 0.7915)}",2.1076,9.6229,31.251297,1034.9476,1034.9476,540.0,540.0
SHRIMP_4,Shrimp_V,"{'head': (0.3306, 0.4208), 'spine': (0.3295, 0.4664), 'tail': (0.3191, 0.5082)}",2.1423,9.7812,32.659571,1034.9476,1034.9476,540.0,540.0
SHRIMP_5,Shrimp_V,"{'head': (0.4856, 0.4756), 'spine': (0.456, 0.488), 'tail': (0.4261, 0.4933)}",1.5194,6.9372,11.651521,1034.9476,1034.9476,540.0,540.0
SHRIMP_6,Shrimp_^,"{'head': (0.4079, 0.3735), 'spine': (0.365, 0.3509), 'tail': (0.3281, 0.3789)}",2.3091,10.5431,40.759153,1034.9476,1034.9476,540.0,540.0
SHRIMP_7,Shrimp_L,"{'head': (0.8122, 0.4596), 'spine': (0.7876, 0.5055), 'tail': (0.8222, 0.5401)}",2.4083,10.9958,46.066828,1034.9476,1034.9476,540.0,540.0
SHRIMP_8,Shrimp_V,"{'head': (0.8483, 0.8718), 'spine': (0.8213, 0.9086), 'tail': (0.7887, 0.9369)}",2.1018,9.5964,30.843389,1034.9476,1034.9476,540.0,540.0
SHRIMP_9,Shrimp_Straight,"{'head': (0.3674, 0.1417), 'spine': (0.3611, 0.1127), 'tail': (0.3563, 0.0888)}",1.3823,6.3114,8.816796,1034.9476,1034.9476,540.0,540.0
SHRIMP_10,Shrimp_V,"{'head': (0.6734, 0.8721), 'spine': (0.7136, 0.8534), 'tail': (0.7545, 0.8446)}",2.0458,9.3408,28.443645,1034.9476,1034.9476,540.0,540.0
SHRIMP_11,Shrimp_^,"{'head': (0.7813, 0.5884), 'spine': (0.7859, 0.6339), 'tail': (0.8271, 0.6482)}",2.1516,9.8237,32.972437,1034.9476,1034.9476,540.0,540.0
SHRIMP_12,Shrimp_L,"{'head': (0.5967, 0.2907), 'spine': (0.6379, 0.2581), 'tail': (0.6197, 0.2123)}",2.4382,11.1324,47.80526,1034.9476,1034.9476,540.0,540.0
SHRIMP_13,Shrimp_V,"{'head': (0.3498, 0.7), 'spine': (0.4001, 0.715), 'tail': (0.4434, 0.7392)}",2.4491,11.1821,48.798287,1034.9476,1034.9476,540.0,540.0
SHRIMP_14,Shrimp_L,"{'head': (0.1542, 0.2984), 'spine': (0.1561, 0.3292), 'tail': (0.1842, 0.3359)}",1.4289,6.5241,9.62234,1034.9476,1034.9476,540.0,540.0
SHRIMP_15,Shrimp_^,"{'head': (0.1856, 0.7893), 'spine': (0.1506, 0.7593), 'tail': (0.1106, 0.7776)}",2.1388,9.7655,32.389616,1034.9476,1034.9476,540.0,540.0
SHRIMP_16,Shrimp_Straight,"{'head': (0.4214, 0.6472), 'spine': (0.4467, 0.6075), 'tail': (0.4694, 0.5717)}",2.1734,9.9234,34.270873,1034.9476,1034.9476,540.0,540.0
SHRIMP_17,Shrimp_V,"{'head': (0.4357, 0.3667), 'spine': (0.4872, 0.3562), 'tail': (0.5369, 0.3571)}",2.4653,11.2562,49.775133,1034.9476,1034.9476,540.0,540.0
SHRIMP_18,Shrimp_V,"{'head': (0.8499, 0.1681), 'spine': (0.8402, 0.1322), 'tail': (0.8386, 0.097)}",1.7048,7.7837,16.458555,1034.9476,1034.9476,540.0,540.0
SHRIMP_19,Shrimp_^,"{'head': (0.5601, 0.1861), 'spine': (0.5946, 0.1483), 'tail': (0.5758, 0.1033)}",2.3887,10.9063,45.118175,1034.9476,1034.9476,540.0,540.0
SHRIMP_20,Shrimp_V,"{'head': (0.9227, 0.3844), 'spine': (0.8858, 0.3753), 'tail': (0.8537, 0.3593)}",1.7542,8.0095,17.932676,1034.9476,1034.9476,540.0,540.0
SHRIMP_21,Shrimp_V,"{'head': (0.4446, 0.2684), 'spine': (0.4236, 0.2356), 'tail': (0.411, 0.201)}",1.8208,8.3133,20.051724,1034.9476,1034.9476,540.0,540.0
SHRIMP_22,Shrimp_V,"{'head': (0.7363, 0.5773), 'spine': (0.6999, 0.5434), 'tail': (0.6734, 0.5047)}",2.3225,10.6043,41.617885,1034.9476,1034.9476,540.0,540.0
SHRIMP_23,Shrimp_V,"{'head': (0.8658, 0.5133), 'spine': (0.9004, 0.5074), 'tail': (0.9336, 0.5092)}",1.6262,7.4248,14.285502,1034.9476,1034.9476,540.0,540.0
SHRIMP_24,Shrimp_Straight,"{'head': (0.8416, 0.6728), 'spine': (0.8817, 0.6574), 'tail': (0.9147, 0.6424)}",1.9873,9.0739,26.201566,1034.9476,1034.9476,540.0,540.0
SHRIMP_25,Shrimp_Straight,"{'head': (0.2359, 0.0765), 'spine': (0.2436, 0.1284), 'tail': (0.2526, 0.176)}",2.2303,10.183,37.031467,1034.9476,1034.9476,540.0,540.0
SHRIMP_26,Shrimp_Straight,"{'head': (0.1956, 0.4818), 'spine': (0.2017, 0.5312), 'tail': (0.2091, 0.5742)}",2.2997,10.5,40.598569,1034.9476,1034.9476,540.0,540.0
SHRIMP_27,Shrimp_L,"{'head': (0.8003, 0.2073), 'spine': (0.7628, 0.2264), 'tail': (0.7698, 0.2654)}",1.9411,8.8626,24.120738,1034.9476,1034.9476,540.0,540.0
SHRIMP_28,Shrimp_L,"{'head': (0.7308, 0.3463), 'spine': (0.7465, 0.3998), 'tail': (0.7988, 0.4003)}",2.5835,11.796,56.87399,1034.9476,1034.9476,540.0,540.0
