ID,Pose,Keypoints_XY,Girth,ArcLength,Volume,fx,fy,cx,cy
SHRIMP_0,Shrimp_^,"{'head': (0.1984, 0.7075), 'spine': (0.1755, 0.6754), 'tail': (0.1386, 0.6822)}",1.9304,8.8141,23.815329,989.2965,989.2965,540.0,540.0
SHRIMP_1,Shrimp_V,"{'head': (0.7648, 0.8677), 'spine': (0.8025, 0.8781), 'tail': (0.8351, 0.8956)}",1.8866,8.6141,22.308482,989.2965,989.2965,540.0,540.0
SHRIMP_2,Shrimp_Straight,"{'head': (0.3856, 0.4857), 'spine': (0.3899, 0.5209), 'tail': (0.3944, 0.5517)}",1.7445,7.965,17.721237,989.2965,989.2965,540.0,540.0
SHRIMP_3,Shrimp_V,"{'head': (0.7325, 0.5191), 'spine': (0.7131, 0.5392), 'tail': (0.6911, 0.5538)}",1.375,6.2779,8.635192,989.2965,989.2965,540.0,540.0
SHRIMP_4,Shrimp_V,"{'head': (0.35, 0.8438), 'spine': (0.378, 0.8603), 'tail': (0.4004, 0.8814)}",1.5756,7.1941,12.994611,989.2965,989.2965,540.0,540.0
SHRIMP_5,Shrimp_Straight,"{'head': (0.5585, 0.8945), 'spine': (0.5289, 0.88), 'tail': (0.5028, 0.8652)}",1.5448,7.0535,12.307307,989.2965,989.2965,540.0,540.0
SHRIMP_6,Shrimp_^,"{'head': (0.6269, 0.8144), 'spine': (0.672, 0.7855), 'tail': (0.6652, 0.735)}",2.6178,11.9524,59.386301,989.2965,989.2965,540.0,540.0
SHRIMP_7,Shrimp_L,"{'head': (0.6338, 0.1112), 'spine': (0.5966, 0.1224), 'tail': (0.5966, 0.159)}",1.8693,8.5349,21.543267,989.2965,989.2965,540.0,540.0
SHRIMP_8,Shrimp_V,"{'head': (0.322, 0.7332), 'spine': (0.3146, 0.6998), 'tail': (0.3147, 0.6675)}",1.675,7.6476,15.610271,989.2965,989.2965,540.0,540.0
SHRIMP_9,Shrimp_Straight,"{'head': (0.2346, 0.1636), 'spine': (0.2075, 0.1518), 'tail': (0.1852, 0.143)}",1.4845,6.7778,10.919831,989.2965,989.2965,540.0,540.0
SHRIMP_10,Shrimp_^,"{'head': (0.8521, 0.6715), 'spine': (0.8807, 0.6276), 'tail': (0.8543, 0.5851)}",2.5455,11.6223,54.60058,989.2965,989.2965,540.0,540.0
SHRIMP_11,Shrimp_V,"{'head': (0.3193, 0.5813), 'spine': (0.281, 0.5585), 'tail': (0.2505, 0.5296)}",2.1783,9.9459,34.337106,989.2965,989.2965,540.0,540.0
SHRIMP_12,Shrimp_Straight,"{'head': (0.6218, 0.7547), 'spine': (0.5839, 0.7306), 'tail': (0.5502, 0.7082)}",2.1166,9.664,31.652945,989.2965,989.2965,540.0,540.0
SHRIMP_13,Shrimp_V,"{'head': (0.709, 0.3565), 'spine': (0.6886, 0.3907), 'tail': (0.6627, 0.4179)}",1.9512,8.9088,24.677361,989.2965,989.2965,540.0,540.0
