ID,Pose,Keypoints_XY,Girth,ArcLength,Volume,fx,fy,cx,cy
SHRIMP_0,Shrimp_V,"{'head': (0.3224, 0.4301), 'spine': (0.2961, 0.4145), 'tail': (0.275, 0.3947)}",1.5203,6.9415,11.673469,980.4222,980.4222,540.0,540.0
SHRIMP_1,Shrimp_Straight,"{'head': (0.719, 0.4207), 'spine': (0.7572, 0.4447), 'tail': (0.7893, 0.4664)}",2.2181,10.1275,36.429404,980.4222,980.4222,540.0,540.0
SHRIMP_2,Shrimp_V,"{'head': (0.5636, 0.6188), 'spine': (0.5966, 0.5857), 'tail': (0.6338, 0.5621)}",2.3152,10.5706,41.222702,980.4222,980.4222,540.0,540.0
SHRIMP_3,Shrimp_V,"{'head': (0.2605, 0.6145), 'spine': (0.2493, 0.5857), 'tail': (0.2449, 0.5569)}",1.5256,6.9657,11.795658,980.4222,980.4222,540.0,540.0
SHRIMP_4,Shrimp_Straight,"{'head': (0.2289, 0.1289), 'spine': (0.2045, 0.1689), 'tail': (0.1861, 0.206)}",2.2357,10.2079,37.303638,980.4222,980.4222,540.0,540.0
SHRIMP_5,Shrimp_Straight,"{'head': (0.1857, 0.2633), 'spine': (0.1948, 0.3041), 'tail': (0.2047, 0.3414)}",1.9654,8.9738,25.343527,980.4222,980.4222,540.0,540.0
SHRIMP_6,Shrimp_Straight,"{'head': (0.4421, 0.269), 'spine': (0.4704, 0.303), 'tail': (0.4952, 0.3336)}",2.1136,9.6502,31.517165,980.4222,980.4222,540.0,540.0
SHRIMP_7,Shrimp_^,"{'head': (0.7082, 0.2734), 'spine': (0.6693, 0.2674), 'tail': (0.6485, 0.2986)}",1.9578,8.9392,24.844035,980.4222,980.4222,540.0,540.0
SHRIMP_8,Shrimp_Straight,"{'head': (0.3816, 0.8408), 'spine': (0.3941, 0.8819), 'tail': (0.4061, 0.9157)}",2.0971,9.5749,30.785742,980.4222,980.4222,540.0,540.0
SHRIMP_9,Shrimp_Straight,"{'head': (0.8098, 0.8841), 'spine': (0.7823, 0.8619), 'tail': (0.7562, 0.8405)}",1.5961,7.2877,13.574157,980.4222,980.4222,540.0,540.0
SHRIMP_10,Shrimp_^,"{'head': (0.7536, 0.5047), 'spine': (0.7742, 0.5445), 'tail': (0.8169, 0.5427)}",2.2254,10.1611,36.486963,980.4222,980.4222,540.0,540.0
SHRIMP_11,Shrimp_^,"{'head': (0.5602, 0.1614), 'spine': (0.583, 0.1787), 'tail': (0.6071, 0.166)}",1.4225,6.4948,9.528442,980.4222,980.4222,540.0,540.0
SHRIMP_12,Shrimp_Straight,"{'head': (0.5713, 0.4606), 'spine': (0.5589, 0.4353), 'tail': (0.5477, 0.4133)}",1.4095,6.4357,9.348353,980.4222,980.4222,540.0,540.0
SHRIMP_13,Shrimp_Straight,"{'head': (0.8699, 0.2936), 'spine': (0.8658, 0.254), 'tail': (0.8598, 0.2204)}",1.9228,8.7793,23.731804,980.4222,980.4222,540.0,540.0
SHRIMP_14,Shrimp_^,"{'head': (0.1453, 0.8167), 'spine': (0.1139, 0.8322), 'tail': (0.1147, 0.8656)}",1.7158,7.8343,16.723254,980.4222,980.4222,540.0,540.0
SHRIMP_15,Shrimp_V,"{'head': (0.4364, 0.5217), 'spine': (0.417, 0.563), 'tail': (0.3906, 0.5969)}",2.2597,10.3176,38.332858,980.4222,980.4222,540.0,540.0
