ID,Pose,Keypoints_XY,Girth,ArcLength,Volume,fx,fy,cx,cy
SHRIMP_0,Shrimp_L,"{'head': (0.6208, 0.6749), 'spine': (0.5925, 0.6441), 'tail': (0.5571, 0.6611)}",2.368,10.812,43.795532,853.0514,853.0514,540.0,540.0
SHRIMP_1,Shrimp_V,"{'head': (0.4681, 0.6124), 'spine': (0.4393, 0.6413), 'tail': (0.4069, 0.662)}",2.3211,10.5979,41.543019,853.0514,853.0514,540.0,540.0
SHRIMP_2,Shrimp_L,"{'head': (0.7084, 0.236), 'spine': (0.7237, 0.2016), 'tail': (0.697, 0.1785)}",2.082,9.5059,29.764343,853.0514,853.0514,540.0,540.0
SHRIMP_3,Shrimp_Straight,"{'head': (0.76, 0.5897), 'spine': (0.7339, 0.6163), 'tail': (0.7097, 0.6385)}",2.0696,9.4494,29.591128,853.0514,853.0514,540.0,540.0
SHRIMP_4,Shrimp_V,"{'head': (0.5567, 0.4359), 'spine': (0.5261, 0.4699), 'tail': (0.491, 0.4949)}",2.5955,11.8506,58.084195,853.0514,853.0514,540.0,540.0
SHRIMP_5,Shrimp_^,"{'head': (0.4268, 0.4101), 'spine': (0.4062, 0.4455), 'tail': (0.4286, 0.4776)}",2.3614,10.7817,43.589628,853.0514,853.0514,540.0,540.0
SHRIMP_6,Shrimp_Straight,"{'head': (0.683, 0.7562), 'spine': (0.6708, 0.7845), 'tail': (0.6587, 0.808)}",1.7347,7.9202,17.424228,853.0514,853.0514,540.0,540.0
SHRIMP_7,Shrimp_L,"{'head': (0.4087, 0.29), 'spine': (0.3762, 0.2697), 'tail': (0.3492, 0.2933)}",2.1533,9.8318,32.931623,853.0514,853.0514,540.0,540.0
SHRIMP_8,Shrimp_L,"{'head': (0.4995, 0.2321), 'spine': (0.514, 0.2096), 'tail': (0.4977, 0.1905)}",1.5017,6.8564,11.168783,853.0514,853.0514,540.0,540.0
SHRIMP_9,Shrimp_V,"{'head': (0.6204, 0.549), 'spine': (0.585, 0.5428), 'tail': (0.5538, 0.5298)}",2.0475,9.3485,28.514529,853.0514,853.0514,540.0,540.0
SHRIMP_10,Shrimp_Straight,"{'head': (0.3873, 0.5747), 'spine': (0.4217, 0.5429), 'tail': (0.4526, 0.5147)}",2.6122,11.9269,59.501765,853.0514,853.0514,540.0,540.0
SHRIMP_11,Shrimp_Straight,"{'head': (0.8467, 0.5944), 'spine': (0.8242, 0.5519), 'tail': (0.8019, 0.5143)}",2.5731,11.7482,56.866494,853.0514,853.0514,540.0,540.0
SHRIMP_12,Shrimp_^,"{'head': (0.4684, 0.3086), 'spine': (0.4616, 0.2809), 'tail': (0.4349, 0.2757)}",1.6367,7.4728,14.513753,853.0514,853.0514,540.0,540.0
