subject,pred_len,gt_len,pred_girth,gt_girth,pred_vol,gt_vol,len_err,len_abs,girth_err,girth_abs,vol_err,vol_abs
000,8.095592303025429,7.904,1.7810303066655944,1.7311,20.16884969436753,17.173735,0.024239916880747562,0.024239916880747562,0.028843109390326544,0.028843109390326544,0.17440089149899715,0.17440089149899715
000,9.081868581482336,9.3165,1.9980110879261137,2.0405,28.474813124787463,28.222722,-0.02518450260480475,0.02518450260480475,-0.02082279444934403,0.02082279444934403,0.008932204511934114,0.008932204511934114
000,9.378228790176413,10.3591,2.063210333838811,2.2688,31.35434362193443,38.518927,-0.09468691390406372,0.09468691390406372,-0.09061603762393737,0.09061603762393737,-0.18600163441898496,0.18600163441898496
000,8.5641864846379,8.9175,1.884121026620338,1.9531,23.877760367735096,24.749154,-0.03962024282165401,0.03962024282165401,-0.03531768643677332,0.03531768643677332,-0.03520902703441518,0.03520902703441518
000,8.388142833352056,9.5954,1.8453914233374522,2.1016,22.43534199313056,30.726451,-0.12581624180836065,0.12581624180836065,-0.12191119940166907,0.12191119940166907,-0.26983620747054193,0.26983620747054193
000,6.171098433084043,7.1696,1.3576416552784893,1.5703,8.933521033530464,12.862293,-0.13926879699229483,0.13926879699229483,-0.1354252975364648,0.1354252975364648,-0.30544880033984106,0.30544880033984106
000,10.707094538414767,11.3643,2.3555607984512483,2.489,46.660582369736574,51.472445,-0.05783070330642744,0.05783070330642744,-0.05361157153425133,0.05361157153425133,-0.09348424443920289,0.09348424443920289
000,7.494511250818022,7.7501,1.6487924751799647,1.6974,16.001665613445184,16.189897,-0.03297876791034673,0.03297876791034673,-0.02863645859551978,0.02863645859551978,-0.011626472148328978,0.011626472148328978
000,5.696614115914251,6.5288,1.2532551055011354,1.4299,7.02725394656591,9.678814,-0.12746383471476372,0.12746383471476372,-0.12353653716963743,0.12353653716963743,-0.2739550582782239,0.2739550582782239
001,7.63869536167311,8.198,1.6805129795680844,1.7955,16.94309765205743,19.228864,-0.06822452285031594,0.06822452285031594,-0.06404178247391572,0.06404178247391572,-0.11887162694283827,0.11887162694283827
001,8.802275459593645,8.5645,1.936500601110602,1.8758,25.925080222291033,21.849003,0.0277629119731034,0.0277629119731034,0.032359847057576586,0.032359847057576586,0.18655666907506183,0.18655666907506183
